key,relative_path,img_name,arg_label,arg_bounding_box,ref_label,ref_bounding_box,proximity,overlap,f0,f2,hybrid,level_one_summary,general_level_two_summary
000000003934_person_1_person_4,000000003934.jpg,3934,person_1,"[61, 135, 210, 466]",person_4,"[95, 90, 155, 163]",-0.0391913278773015,0.0322958918856571,283,190,283,person_1 overlaps and is below person_4,person_1 Interacting person_4
000000003934_person_1_person_5,000000003934.jpg,3934,person_1,"[61, 135, 210, 466]",person_5,"[296, 133, 323, 191]",-0.4167640923366114,0.0,218,182,182,person_1 is to the left of person_5,person_1 Not Interacting person_5
000000003934_person_2_sofa_1,000000003934.jpg,3934,person_2,"[192, 109, 236, 224]",sofa_1,"[146, 207, 380, 378]",-0.2789341344181815,0.0168749717998465,125,4,108,person_2 overlaps and is above sofa_1,person_2 Interacting sofa_1
000000003934_person_2_person_3,000000003934.jpg,3934,person_2,"[192, 109, 236, 224]",person_3,"[39, 72, 99, 330]",-0.595876126392004,0.0,34,0,0,person_2 is to the right of person_3,person_2 Not Interacting person_3
000000003934_person_2_person_4,000000003934.jpg,3934,person_2,"[192, 109, 236, 224]",person_4,"[95, 90, 155, 163]",-0.5003704879856039,0.0,330,344,344,person_2 is to the right of person_4,person_2 Not Interacting person_4
000000003934_person_2_person_5,000000003934.jpg,3934,person_2,"[192, 109, 236, 224]",person_5,"[296, 133, 323, 191]",-0.5601725854629936,0.0,196,180,180,person_2 is to the left of person_5,person_2 Not Interacting person_5
000000003934_person_3_sofa_1,000000003934.jpg,3934,person_3,"[39, 72, 99, 330]",sofa_1,"[146, 207, 380, 378]",-0.468173193030878,0.0,152,161,161,person_3 is to the left of sofa_1,person_3 Not Interacting sofa_1
000000003934_person_4_sofa_1,000000003934.jpg,3934,person_4,"[95, 90, 155, 163]",sofa_1,"[146, 207, 380, 378]",-0.4591374269005848,0.0,135,119,119,person_4 is above sofa_1,person_4 Not Interacting sofa_1
000000003934_person_5_sofa_1,000000003934.jpg,3934,person_5,"[296, 133, 323, 191]",sofa_1,"[146, 207, 380, 378]",-0.2747252747252747,0.0,54,90,90,person_5 is above sofa_1,person_5 Not Interacting sofa_1
000000003934_person_3_person_4,000000003934.jpg,3934,person_3,"[39, 72, 99, 330]",person_4,"[95, 90, 155, 163]",-0.3312418050800799,0.0149223221586263,248,101,226,person_3 overlaps and is below and to the left of person_4,person_3 Interacting person_4
000000003934_person_3_person_5,000000003934.jpg,3934,person_3,"[39, 72, 99, 330]",person_5,"[296, 133, 323, 191]",-0.767359973796266,0.0,207,180,180,person_3 is to the left of person_5,person_3 Not Interacting person_5
000000003934_person_4_person_5,000000003934.jpg,3934,person_4,"[95, 90, 155, 163]",person_5,"[296, 133, 323, 191]",-0.7417926003126628,0.0,169,170,170,person_4 is to the left of person_5,person_4 Not Interacting person_5
000000004134_person_1_person_2,000000004134.jpg,4134,person_1,"[217, 50, 593, 417]",person_2,"[39, 46, 289, 426]",0.1091465724104173,0.1279191355873126,1,7,1,person_1 overlaps and is to the right of person_2,person_1 Interacting person_2
000000004134_person_1_tie_1,000000004134.jpg,4134,person_1,"[217, 50, 593, 417]",tie_1,"[394, 190, 434, 386]",0.0568148878195837,0.0568148878195837,124,228,125,person_1 overlaps and is above and to the left of tie_1,person_1 Interacting tie_1
000000004134_person_1_person_3,000000004134.jpg,4134,person_1,"[217, 50, 593, 417]",person_3,"[289, 119, 338, 264]",0.0514884920864977,0.0514884920864977,291,4,291,person_1 overlaps and is below person_3,person_1 Interacting person_3
000000004134_person_1_person_4,000000004134.jpg,4134,person_1,"[217, 50, 593, 417]",person_4,"[472, 109, 523, 178]",0.0255014783465708,0.0255014783465708,234,245,234,person_1 overlaps and is below and to the left of person_4,person_1 Interacting person_4
000000004134_person_1_person_5,000000004134.jpg,4134,person_1,"[217, 50, 593, 417]",person_5,"[10, 109, 71, 264]",-0.3108697379428961,0.0,337,0,0,person_1 is to the right of person_5,person_1 Not Interacting person_5
000000004134_person_1_person_6,000000004134.jpg,4134,person_1,"[217, 50, 593, 417]",person_6,"[191, 133, 228, 244]",-0.0364479506951906,0.0086670736381833,313,10,315,person_1 overlaps and is below and to the right of person_6,person_1 Interacting person_6
000000004134_person_2_tie_1,000000004134.jpg,4134,person_2,"[39, 46, 289, 426]",tie_1,"[394, 190, 434, 386]",-0.3148567621585609,0.0,156,180,180,person_2 is to the left of tie_1,person_2 Not Interacting tie_1
000000004134_person_2_person_3,000000004134.jpg,4134,person_2,"[39, 46, 289, 426]",person_3,"[289, 119, 338, 264]",-0.1013465939095229,0.0,218,97,180,person_2 is to the left of person_3,person_2 Not Interacting person_3
000000004134_person_2_person_4,000000004134.jpg,4134,person_2,"[39, 46, 289, 426]",person_4,"[472, 109, 523, 178]",-0.4643377555458895,0.0,214,180,180,person_2 is to the left of person_4,person_2 Not Interacting person_4
000000004134_person_2_person_5,000000004134.jpg,4134,person_2,"[39, 46, 289, 426]",person_5,"[10, 109, 71, 264]",-0.0116932401667469,0.0498517513442886,315,5,318,person_2 overlaps and is below and to the right of person_5,person_2 Interacting person_5
000000004134_person_2_person_6,000000004134.jpg,4134,person_2,"[39, 46, 289, 426]",person_6,"[191, 133, 228, 244]",0.0432315789473684,0.0432315789473684,237,225,236,person_2 overlaps and is below and to the left of person_6,person_2 Interacting person_6
000000004134_person_3_tie_1,000000004134.jpg,4134,person_3,"[289, 119, 338, 264]",tie_1,"[394, 190, 434, 386]",-0.6139739119204443,0.0,127,145,145,person_3 is above and to the left of tie_1,person_3 Not Interacting tie_1
000000004134_person_4_tie_1,000000004134.jpg,4134,person_4,"[472, 109, 523, 178]",tie_1,"[394, 190, 434, 386]",-0.6821145719642907,0.0,84,90,90,person_4 is above tie_1,person_4 Not Interacting tie_1
000000004134_person_5_tie_1,000000004134.jpg,4134,person_5,"[10, 109, 71, 264]",tie_1,"[394, 190, 434, 386]",-0.8527433417342143,0.0,163,167,167,person_5 is to the left of tie_1,person_5 Not Interacting tie_1
000000004134_person_6_tie_1,000000004134.jpg,4134,person_6,"[191, 133, 228, 244]",tie_1,"[394, 190, 434, 386]",-0.8056734820019844,0.0,146,163,163,person_6 is to the left of tie_1,person_6 Not Interacting tie_1
000000004134_person_3_person_4,000000004134.jpg,4134,person_3,"[289, 119, 338, 264]",person_4,"[472, 109, 523, 178]",-0.7070857457954232,0.0,214,186,186,person_3 is to the left of person_4,person_3 Not Interacting person_4
000000004134_person_3_person_5,000000004134.jpg,4134,person_3,"[289, 119, 338, 264]",person_5,"[10, 109, 71, 264]",-0.6742722265932337,0.0,359,0,0,person_3 is to the right of person_5,person_3 Not Interacting person_5
000000004134_person_3_person_6,000000004134.jpg,4134,person_3,"[289, 119, 338, 264]",person_6,"[191, 133, 228, 244]",-0.4739854562514661,0.0,351,0,0,person_3 is to the right of person_6,person_3 Not Interacting person_6
000000004134_person_4_person_5,000000004134.jpg,4134,person_4,"[472, 109, 523, 178]",person_5,"[10, 109, 71, 264]",-0.8368358171414199,0.0,12,0,0,person_4 is to the right of person_5,person_4 Not Interacting person_5
000000004134_person_4_person_6,000000004134.jpg,4134,person_4,"[472, 109, 523, 178]",person_6,"[191, 133, 228, 244]",-0.8298527443105757,0.0,16,7,7,person_4 is to the right of person_6,person_4 Not Interacting person_6
000000004134_person_5_person_6,000000004134.jpg,4134,person_5,"[10, 109, 71, 264]",person_6,"[191, 133, 228, 244]",-0.5986386504883101,0.0,173,180,180,person_5 is to the left of person_6,person_5 Not Interacting person_6
000000004395_person_1_tie_1,000000004395.jpg,4395,person_1,"[18, 17, 402, 621]",tie_1,"[174, 270, 272, 654]",0.1076844730429485,0.1462686567164179,118,1,118,person_1 overlaps and is above tie_1,person_1 Interacting tie_1
